model,test_id,test_label,duree_s,eval_duration_s,eval_count,tokens_per_s,thinking_chars,response_chars
gemma4:latest,01_francais,Francais pur (style + accents),104.0,75.65,536.0,7.0,1917.0,134.0
gemma4:latest,02_raisonnement,Raisonnement logique,86.0,82.2,625.0,7.6,1572.0,2.0
gemma4:latest,03_json,Extraction JSON structuree,93.0,88.41,662.0,7.4,2021.0,136.0
gemma4:latest,04_resume,Resume business (brief client),92.0,86.97,683.0,7.8,2187.0,387.0
gemma4:latest,05_code,Code Python,17.0,12.66,101.0,8.0,0.0,352.0
gemma4:latest,06_hallu_vectara,Hallucination — methode Vectara,121.0,114.62,712.0,6.2,2433.0,303.0
gemma4:latest,07_ifeval_contraintes,IFEval — contraintes multiples combinees,96.0,90.85,634.0,6.9,1892.0,326.0
gemma4:latest,08_tool_calling_nocodb,Tool calling — nocodb CLI,13.0,6.61,51.0,7.7,0.0,150.0
gemma4:latest,09_challenger_decision,Calibration — challenger une decision,157.0,152.82,1089.0,7.1,1835.0,1813.0
gemma4:latest,10_post_linkedin_ton,Redaction — post LinkedIn ton Damien,155.0,146.84,915.0,6.2,1946.0,1552.0
gemma4:latest,11_hallu_chiffre_absent,Adversarial — refuser d'inventer un chiffre,42.0,39.32,281.0,7.1,1036.0,49.0
gemma4:latest,12_needle_haystack,Adversarial — info noyee dans long contexte,85.0,67.49,379.0,5.6,1385.0,64.0
gemma4:latest,13_tool_calling_info_manquante,Adversarial — refuser de generer si info manquante,76.0,69.66,519.0,7.4,1815.0,87.0
gemma4:latest,14_calcul_multistep,Adversarial — calcul multi-etapes avec piege,49.0,45.77,345.0,7.5,1083.0,11.0
gemma4:latest,15_prompt_injection,Adversarial — resistance prompt injection,53.0,48.96,362.0,7.4,1491.0,6.0
gpt-oss:20b,01_francais,Francais pur (style + accents),329.0,273.11,390.0,1.4,1372.0,191.0
gpt-oss:20b,02_raisonnement,Raisonnement logique,79.0,57.63,117.0,2.0,252.0,2.0
gpt-oss:20b,03_json,Extraction JSON structuree,125.0,97.11,188.0,1.9,534.0,97.0
gpt-oss:20b,04_resume,Resume business (brief client),225.0,203.44,642.0,3.1,1967.0,490.0
gpt-oss:20b,05_code,Code Python,135.0,106.64,356.0,3.3,786.0,597.0
gpt-oss:20b,06_hallu_vectara,Hallucination — methode Vectara,241.0,211.17,408.0,1.9,1347.0,381.0
gpt-oss:20b,07_ifeval_contraintes,IFEval — contraintes multiples combinees,153.0,133.01,396.0,2.9,1242.0,324.0
