model,test_id,critere,resultat,detail
gemma4:latest,01_francais,accents_corrects,PASS,4 occurrences
gemma4:latest,01_francais,max_2_phrases,PASS,2 phrases
gemma4:latest,01_francais,max_30_mots,PASS,18 mots
gemma4:latest,01_francais,zero_corporate,FAIL,formule corporate
gpt-oss:20b,01_francais,accents_corrects,PASS,1 occurrences
gpt-oss:20b,01_francais,max_2_phrases,PASS,2 phrases
gpt-oss:20b,01_francais,max_30_mots,PASS,26 mots
gpt-oss:20b,01_francais,zero_corporate,FAIL,formule corporate
ministral-3:8b,01_francais,accents_corrects,PASS,0 occurrences
ministral-3:8b,01_francais,max_2_phrases,PASS,1 phrases
ministral-3:8b,01_francais,max_30_mots,PASS,22 mots
ministral-3:8b,01_francais,zero_corporate,PASS,
qwen3:0.6b,01_francais,accents_corrects,FAIL,0 occurrences
qwen3:0.6b,01_francais,max_2_phrases,PASS,1 phrase
qwen3:0.6b,01_francais,max_30_mots,PASS,19 mots
qwen3:0.6b,01_francais,zero_corporate,FAIL,formule corporate
qwen3:1.7b,01_francais,accents_corrects,PASS,4 occurrences
qwen3:1.7b,01_francais,max_2_phrases,PASS,1 phrases
qwen3:1.7b,01_francais,max_30_mots,PASS,23 mots
qwen3:1.7b,01_francais,zero_corporate,FAIL,formule corporate
qwen3:4b,01_francais,accents_corrects,PASS,6 occurrences
qwen3:4b,01_francais,max_2_phrases,PASS,1 phrases
qwen3:4b,01_francais,max_30_mots,PASS,17 mots
qwen3:4b,01_francais,zero_corporate,FAIL,formule corporate
qwen3:8b,01_francais,accents_corrects,PASS,3 occurrences
qwen3:8b,01_francais,max_2_phrases,PASS,33 phrases
qwen3:8b,01_francais,max_30_mots,PASS,25 mots
qwen3:8b,01_francais,zero_corporate,FAIL,formule corporate
mistral-nemo:12b,01_francais,accents_corrects,PASS,1 occurrences
mistral-nemo:12b,01_francais,max_2_phrases,PASS,2 phrases
mistral-nemo:12b,01_francais,max_30_mots,FAIL,48 mots
mistral-nemo:12b,01_francais,zero_corporate,FAIL,formule corporate
gemma4:latest,02_raisonnement,reponse_15,PASS,
gemma4:latest,02_raisonnement,max_5_mots,PASS,
gpt-oss:20b,02_raisonnement,reponse_15,PASS,
