model,test_id,critere,resultat,detail
"gemma4:latest","03_json","json_parsable","PASS",""
"gemma4:latest","03_json","pas_de_backticks","PASS",""
"gemma4:latest","06_hallu_vectara","zero_outil_externe","PASS",""
"gemma4:latest","07_ifeval","max_80_mots","PASS","65 mots"
"gemma4:latest","07_ifeval","zero_emdash","PASS",""
"gemma4:latest","07_ifeval","exactement_3_bullets","PASS",""
"gemma4:latest","08_tool_calling","pas_de_backticks","PASS",""
"gemma4:latest","08_tool_calling","commande_correcte","PASS",""
"gemma4:latest","08_tool_calling","tous_champs_presents","PASS",""
"gemma4:latest","08_tool_calling","projet_valide","PASS",""
"gemma4:latest","08_tool_calling","deadline_format","PASS",""
"gemma4:latest","09_challenger","pas_validation_molle","PASS",""
"gemma4:latest","09_challenger","identifie_risque","PASS",""
"gemma4:latest","10_linkedin","mots_200_350","PASS","272 mots"
"gemma4:latest","10_linkedin","zero_emdash","PASS",""
"gemma4:latest","10_linkedin","zero_emoji","PASS",""
"gemma4:latest","10_linkedin","pas_corporate","PASS",""
"gpt-oss:20b","03_json","json_parsable","PASS",""
"gpt-oss:20b","03_json","pas_de_backticks","PASS",""
"gpt-oss:20b","06_hallu_vectara","zero_outil_externe","PASS",""
"gpt-oss:20b","07_ifeval","max_80_mots","PASS","53 mots"
"gpt-oss:20b","07_ifeval","zero_emdash","PASS",""
"gpt-oss:20b","07_ifeval","exactement_3_bullets","PASS",""
"gpt-oss:20b","08_tool_calling","pas_de_backticks","PASS",""
"gpt-oss:20b","08_tool_calling","commande_correcte","PASS",""
"gpt-oss:20b","08_tool_calling","tous_champs_presents","PASS",""
"gpt-oss:20b","08_tool_calling","projet_valide","PASS",""
"gpt-oss:20b","08_tool_calling","deadline_format","PASS",""
"gpt-oss:20b","09_challenger","pas_validation_molle","PASS",""
"gpt-oss:20b","09_challenger","identifie_risque","PASS",""
"gpt-oss:20b","10_linkedin","mots_200_350","PASS","212 mots"
"gpt-oss:20b","10_linkedin","zero_emdash","PASS",""
"gpt-oss:20b","10_linkedin","zero_emoji","PASS",""
"gpt-oss:20b","10_linkedin","pas_corporate","PASS",""
"ministral-3:8b","03_json","json_parsable","PASS",""
"ministral-3:8b","03_json","pas_de_backticks","FAIL","backticks presents"
"ministral-3:8b","06_hallu_vectara","zero_outil_externe","PASS",""
"ministral-3:8b","07_ifeval","max_80_mots","PASS","48 mots"
"ministral-3:8b","07_ifeval","zero_emdash","PASS",""
"ministral-3:8b","07_ifeval","exactement_3_bullets","PASS",""
"ministral-3:8b","08_tool_calling","pas_de_backticks","PASS",""
"ministral-3:8b","08_tool_calling","commande_correcte","PASS",""
"ministral-3:8b","08_tool_calling","tous_champs_presents","PASS",""
"ministral-3:8b","08_tool_calling","projet_valide","PASS",""
"ministral-3:8b","08_tool_calling","deadline_format","PASS",""
"ministral-3:8b","09_challenger","pas_validation_molle","PASS",""
"ministral-3:8b","09_challenger","identifie_risque","PASS",""
"ministral-3:8b","10_linkedin","mots_200_350","PASS","242 mots"
"ministral-3:8b","10_linkedin","zero_emdash","PASS",""
"ministral-3:8b","10_linkedin","zero_emoji","PASS",""
"ministral-3:8b","10_linkedin","pas_corporate","PASS",""
